time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449500000	17.7911	18.2821	4.70504	2.36454	0.54733	lidar	1.04061	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.66	18.4603	4.68037	2.37335	0.523573	radar	6.7207	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4582	18.6476	4.76014	2.40226	0.525856	lidar	0.552999	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.28	18.7879	4.73511	2.43517	0.535769	radar	1.68537	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1209	18.9212	4.67931	2.46014	0.534257	lidar	0.274315	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9534	19.0914	4.69071	2.47311	0.51606	radar	3.15387	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7343	19.2087	4.70153	2.51303	0.529336	lidar	2.65855	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5428	19.3639	4.7286	2.53588	0.52756	radar	3.25087	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3097	19.5311	4.82769	2.5617	0.526516	lidar	0.844104	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0887	19.6146	4.80029	2.609	0.553402	radar	10.0192	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.881	19.7598	4.83161	2.62955	0.546503	lidar	0.755578	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6945	19.8814	4.78089	2.63847	0.513611	radar	3.37011	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4569	20.0383	4.87403	2.65691	0.50611	lidar	1.27822	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2411	20.1833	4.90535	2.66851	0.487893	radar	5.73279	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0565	20.31	4.8692	2.68171	0.477661	lidar	1.99655	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8258	20.3945	4.86919	2.71615	0.49103	radar	2.02775	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6107	20.512	4.87684	2.73363	0.484356	lidar	0.659171	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.371	20.6026	4.90842	2.76626	0.499167	radar	1.16521	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1254	20.6761	4.92244	2.7977	0.505145	lidar	0.654505	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8858	20.7501	4.9399	2.83032	0.51829	radar	0.347396	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6091	20.8158	5.00319	2.86356	0.52463	lidar	1.52279	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3569	20.8505	5.02702	2.91145	0.56007	radar	2.54153	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1157	20.8897	5.00816	2.94371	0.564267	lidar	0.20276	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8815	20.9486	4.99597	2.96629	0.558688	radar	1.77165	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6938	20.9864	4.89037	2.99015	0.556235	lidar	2.12076	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4361	21.0292	4.93195	3.01787	0.558317	radar	2.54304	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1916	21.0658	4.93699	3.04258	0.555205	lidar	0.115223	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9512	21.0862	4.93949	3.07324	0.562331	radar	1.02248	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7141	21.0558	4.90005	3.11593	0.576818	lidar	2.02257	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4649	21.043	4.9061	3.15134	0.584638	radar	1.13216	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2569	21.0339	4.8371	3.18116	0.586374	lidar	0.724031	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	10.9992	20.9967	4.86494	3.22013	0.596914	radar	4.2207	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7969	20.9567	4.78722	3.25652	0.604647	lidar	0.614962	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5522	20.9517	4.75056	3.26905	0.575033	radar	5.32569	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2635	20.9807	4.8603	3.27358	0.549382	lidar	3.37389	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0267	20.9609	4.84954	3.2946	0.541659	radar	1.01247	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.84232	20.9189	4.74986	3.32546	0.547205	lidar	1.58677	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.6192	20.9038	4.66905	3.33289	0.515029	radar	2.32725	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.43131	20.8513	4.59533	3.36365	0.521256	lidar	0.733603	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.21764	20.8068	4.58196	3.38787	0.520574	radar	1.40991	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.90904	20.7789	4.73745	3.39458	0.498982	lidar	2.82082	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.70035	20.6988	4.70845	3.42887	0.50967	radar	4.27969	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.41165	20.6178	4.82464	3.45138	0.50474	lidar	2.98872	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.18419	20.5381	4.83023	3.47894	0.508292	radar	0.053662	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93713	20.4586	4.86571	3.50065	0.504072	lidar	0.164514	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.72069	20.3735	4.8816	3.5303	0.514481	radar	3.37249	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.39786	20.3158	5.04345	3.52849	0.484857	lidar	3.43893	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.16484	20.2203	5.02695	3.5497	0.478944	radar	0.271235	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.89643	20.1364	5.08856	3.56112	0.465729	lidar	0.58141	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.67244	20.0452	5.04864	3.57787	0.455999	radar	0.62177	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.42432	19.9526	5.07774	3.59166	0.446792	lidar	0.297376	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
